Entity,Code,Year,cattle, goat,chicken,pig, lamb ,duck
India,IND,1961,6321000,23500000,76665000,4400000,10200000,6800000
India,IND,1962,6434000,23700000,76665000,4365000,11800000,7400000
India,IND,1963,6610000,24000000,76665000,4325000,11900000,8000000
India,IND,1964,6680000,24000000,77780000,4300000,12100000,8600000
India,IND,1965,6860000,24000000,78890000,4250000,12200000,9200000
India,IND,1966,7000000,24200000,80000000,4230000,12220000,9800000
India,IND,1967,7230000,24200000,82220000,4510000,12230000,9700000
India,IND,1968,7420000,24200000,84445000,4750000,12200000,9600000
India,IND,1969,7600000,24200000,87780000,4730000,12000000,9500000
India,IND,1970,7800000,24200000,90000000,4980000,11900000,9400000
India,IND,1971,8000000,24400000,92220000,5555000,11500000,9300000
India,IND,1972,8000000,24600000,93330000,5860000,11000000,9100000
India,IND,1973,8200000,24800000,94440000,5865000,11100000,9300000
India,IND,1974,8390000,25100000,95550000,6035000,11200000,9500000
India,IND,1975,8613000,26150000,97800000,6120000,11350000,9700000
India,IND,1976,8837000,26730000,100000000,6215000,11400000,9900000
India,IND,1977,9014000,27360000,100000000,6425000,11450000,10200000
India,IND,1978,9100000,28280000,103500000,6720000,11820000,11700000
India,IND,1979,9399000,29250000,112000000,7140000,12200000,13200000
India,IND,1980,9698000,30240000,125600000,7470000,12820000,14700000
India,IND,1981,9812000,31260000,133500000,7970000,13230000,16200000
India,IND,1982,10490000,32400000,144500000,8460000,15800000,18000000
India,IND,1983,10659000,33500000,152000000,8570000,15300000,19000000
India,IND,1984,10734000,34630000,166700000,8695000,14900000,20200000
India,IND,1985,10400000,35810000,179000000,10300000,14600000,21400000
India,IND,1986,10310000,37030000,200000000,10400000,14400000,22600000
India,IND,1987,10980000,41900000,307500000,10500000,14200000,23800000
India,IND,1988,10917000,42300000,314000000,10900000,14500000,23500000
India,IND,1989,10851000,42700000,350000000,11300000,14800000,23200000
India,IND,1990,10297000,43000000,402000000,11800000,15100000,22900000
India,IND,1991,0,43400000,548000000,12200000,15400000,22600000
India,IND,1992,0,43800000,568000000,12700000,15700000,22400000
India,IND,1993,0,44300000,641000000,12800000,16100000,24200000
India,IND,1994,0,44900000,657000000,12900000,16500000,26000000
India,IND,1995,0,45500000,673000000,13000000,16900000,28100000
India,IND,1996,0,46000000,690000000,13100000,17300000,30300000
India,IND,1997,0,46600000,694000000,13190000,17820000,31000000
India,IND,1998,0,46700000,735000000,13240000,18000000,31000000
India,IND,1999,0,46800000,778000000,13278000,18200000,31000000
India,IND,2000,0,46900000,860000000,13310000,18400000,30800000
India,IND,2001,0,47000000,911000000,13348000,18600000,30700000
India,IND,2002,0,47140000,964000000,13388000,18800000,30600000
India,IND,2003,0,47250000,1052000000,13426000,19100000,30000000
India,IND,2004,0,48700000,1134000000,12700000,19800000,30000000
India,IND,2005,0,50200000,1222000000,12150000,20500000,29000000
India,IND,2006,0,51780000,1320000000,11569000,21290000,28500000
India,IND,2007,0,53380000,1474397000,11000000,22083000,28000000
India,IND,2008,0,53000000,1599129000,10900000,21800000,27000000
India,IND,2009,0,52500000,1740431000,10800000,21400000,26000000
India,IND,2010,0,52200000,1816848000,10600000,21000000,25500000
India,IND,2011,0,51700000,1860000000,10400000,20620000,25000000
India,IND,2012,0,51300000,2161055000,10200000,20170000,24000000
India,IND,2013,0,50900000,2019410000,10100000,19800000,23000000
India,IND,2014,0,50500000,2373071000,10000000,19600000,22200000
India,IND,2015,0,52124304,2394703000,10333836,20701794,24982000
India,IND,2016,0,53099196,2429198000,10490465,21525636,27787000
India,IND,2017,0,53589412,2504019000,10903060,22062856,29938000
India,IND,2018,0,54183332,2596711000,10734890,22541494,31886000
India,IND,2019,0,54887076,2697927000,10116901,23017980,33841000
India,IND,2020,0,55540576,2797362000,9436772,23478396,33787000
India,IND,2021,0,54828232,2884454000,9305428,23204662,33800000
India,IND,2022,0,55046728,2983054000,9088458,23364016,33704000
