Year,methane
1850,200839070
1851,201611650
1852,202384880
1853,203158720
1854,203933180
1855,204708290
1856,205484060
1857,206260420
1858,207113280
1859,207937490
1860,208717140
1861,209468130
1862,210258000
1863,211049840
1864,211824530
1865,212604320
1866,213400740
1867,214060820
1868,214844510
1869,215628900
1870,217394380
1871,217755120
1872,218115840
1873,218476720
1874,218837620
1875,219198500
1876,219559550
1877,219920620
1878,220621540
1879,220955650
1880,221350340
1881,223262780
1882,225233800
1883,227216670
1884,229174370
1885,231063710
1886,233027890
1887,235016130
1888,236998690
1889,239016820
1890,241026100
1891,241501330
1892,241994960
1893,242432160
1894,242925200
1895,243590660
1896,244116500
1897,244620350
1898,245220690
1899,245807780
1900,246575900
1901,245603440
1902,244717040
1903,243574220
1904,242698910
1905,241618670
1906,240933860
1907,240235730
1908,239639550
1909,238224770
1910,237088200
1911,237745380
1912,238787400
1913,239671100
1914,240122900
1915,240713940
1916,241140750
1917,241825250
1918,243030340
1919,244039230
1920,242867200
1921,245727420
1922,248147700
1923,250887100
1924,253910270
1925,256343570
1926,258894270
1927,261777060
1928,264354820
1929,267185340
1930,269840320
1931,272854430
1932,276040670
1933,279626750
1934,284088770
1935,288116300
1936,293404830
1937,299687840
1938,306306750
1939,311676320
1940,317831200
1941,322511100
1942,327185380
1943,330600000
1944,335561250
1945,341079140
1946,345542300
1947,344455360
1948,349088700
1949,354351800
1950,359014370
1951,366758750
1952,375217020
1953,383578600
1954,392465060
1955,402062600
1956,411622660
1957,422750720
1958,433336740
1959,444397100
1960,456710660
1961,461419300
1962,464899400
1963,467520260
1964,472247300
1965,473358460
1966,481296260
1967,486158140
1968,494186720
1969,500381760
1970,505960670
1971,511138050
1972,514725700
1973,521180670
1974,527878080
1975,540195700
1976,543885950
1977,554123970
1978,561483400
1979,567310000
1980,579337000
1981,594470660
1982,599860200
1983,620679900
1984,631420160
1985,639972200
1986,660655740
1987,666330700
1988,693863800
1989,710642050
1990,682018300
1991,691536600
1992,695636800
1993,699370100
1994,706799940
1995,717494850
1996,726102300
1997,735621600
1998,740390500
1999,747096450
2000,751374700
2001,757369100
2002,752914940
2003,766230400
2004,777779600
2005,795876860
2006,808479300
2007,826696300
2008,842426700
2009,846682560
2010,856304060
2011,864451260
2012,866758000
2013,841145860
2014,849583740
2015,858067600
2016,866113300
2017,874811000
2018,889598900
2019,890080260
2020,897059460
2021,918591200
2022,933304260
